id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-460138,2024-10-30,000001,Vente,274000,41,,RUE ROGER SALENGRO,4420,37000,37261,Tours,37,,,37261000DT0955,,,9,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.685971,47.386042
2024-460138,2024-10-30,000001,Vente,274000,41,,RUE ROGER SALENGRO,4420,37000,37261,Tours,37,,,37261000DT0955,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.685971,47.386042
2024-460138,2024-10-30,000001,Vente,274000,41,,RUE ROGER SALENGRO,4420,37000,37261,Tours,37,,,37261000DT0955,,,20,,21,,22,,,,,,3,2,Appartement,78,4,,,,,,0.685971,47.386042
2024-460143,2024-11-06,000001,Vente,188000,15,,RUE DU DOCTEUR FOURNIER,1500,37000,37261,Tours,37,,,37261000CM0391,,,13,75.42,20,,5,,,,,,3,3,Dépendance,,0,,,,,,0.701747,47.385215
2024-460143,2024-11-06,000001,Vente,188000,15,,RUE DU DOCTEUR FOURNIER,1500,37000,37261,Tours,37,,,37261000CM0391,,,13,75.42,20,,5,,,,,,3,2,Appartement,70,3,,,,,,0.701747,47.385215
2024-460144,2024-11-06,000001,Vente,106000,12,,RUE PAUL NIZAN,3815,37200,37261,Tours,37,,,37261000HL0385,,,68,38.88,,,,,,,,,1,4,Local industriel. commercial ou assimilé,39,0,,,,,,0.679209,47.367512
2024-460147,2024-11-07,000001,Vente en l'état futur d'achèvement,276200,146,,AV ANDRE MAGINOT,0243,37100,37261,Tours,37,,,37261000BT0602,,,94,,,,,,,,,,1,,,,,,,,,,0.690653,47.417676
2024-460147,2024-11-07,000001,Vente en l'état futur d'achèvement,276200,146,,AV ANDRE MAGINOT,0243,37100,37261,Tours,37,,,37261000BT0602,,,89,,,,,,,,,,1,,,,,,,,,,0.690653,47.417676
2024-460150,2024-11-08,000001,Vente en l'état futur d'achèvement,348000,146,,AV ANDRE MAGINOT,0243,37100,37261,Tours,37,,,37261000BT0602,,,46,,,,,,,,,,1,,,,,,,,,,0.690653,47.417676
2024-460150,2024-11-08,000001,Vente en l'état futur d'achèvement,348000,146,,AV ANDRE MAGINOT,0243,37100,37261,Tours,37,,,37261000BT0602,,,143,,,,,,,,,,1,,,,,,,,,,0.690653,47.417676
2024-460150,2024-11-08,000001,Vente en l'état futur d'achèvement,348000,146,,AV ANDRE MAGINOT,0243,37100,37261,Tours,37,,,37261000BT0602,,,142,,,,,,,,,,1,,,,,,,,,,0.690653,47.417676
2024-460156,2024-10-31,000001,Vente,536800,5,,PL DU CHARDONNET,0930,37000,37261,Tours,37,,,37261000DV0162,,,,,,,,,,,,,0,1,Maison,130,6,S,sols,,,100,0.685265,47.391926
2024-460156,2024-10-31,000001,Vente,536800,5,,PL DU CHARDONNET,0930,37000,37261,Tours,37,,,37261000DV0162,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,22,0,S,sols,,,100,0.685265,47.391926
2024-460159,2024-11-08,000001,Vente,106000,3,,RUE JEAN LURCAT,2705,37100,37261,Tours,37,,,37261000AO0155,,,13,66.95,,,,,,,,,1,2,Appartement,66,3,,,,,,0.704744,47.410833
